date,timestamp,day_night,year,month,season,count,is_workday,is_weekend,is_holiday,temp,temp_feel,humidity,wind_speed,weather_code,weather_type
2015-01-04,2015-01-04T00:00:00Z,night,2015,1,3,182,0,1,0,3,2,93,6,3,broken clouds
2015-01-04,2015-01-04T01:00:00Z,night,2015,1,3,138,0,1,0,3,2.5,93,5,1,clear
2015-01-04,2015-01-04T02:00:00Z,night,2015,1,3,134,0,1,0,2.5,2.5,96.5,0,1,clear
2015-01-04,2015-01-04T03:00:00Z,night,2015,1,3,72,0,1,0,2,2,100,0,1,clear
2015-01-04,2015-01-04T04:00:00Z,night,2015,1,3,47,0,1,0,2,0,93,6.5,1,clear
2015-01-04,2015-01-04T05:00:00Z,night,2015,1,3,46,0,1,0,2,2,93,4,1,clear
2015-01-04,2015-01-04T06:00:00Z,day,2015,1,3,51,0,1,0,1,-1,100,7,4,cloudy
2015-01-04,2015-01-04T07:00:00Z,day,2015,1,3,75,0,1,0,1,-1,100,7,4,cloudy
2015-01-04,2015-01-04T08:00:00Z,day,2015,1,3,131,0,1,0,1.5,-1,96.5,8,4,cloudy
2015-01-04,2015-01-04T09:00:00Z,day,2015,1,3,301,0,1,0,2,-0.5,100,9,3,broken clouds
2015-01-04,2015-01-04T10:00:00Z,day,2015,1,3,528,0,1,0,3,-0.5,93,12,3,broken clouds
2015-01-04,2015-01-04T11:00:00Z,day,2015,1,3,727,0,1,0,2,-1.5,100,12,3,broken clouds
2015-01-04,2015-01-04T12:00:00Z,day,2015,1,3,862,0,1,0,2,-1.5,96.5,13,4,cloudy
2015-01-04,2015-01-04T13:00:00Z,day,2015,1,3,916,0,1,0,3,-0.5,87,15,3,broken clouds
2015-01-04,2015-01-04T14:00:00Z,day,2015,1,3,1039,0,1,0,2.5,0,90,8,3,broken clouds
2015-01-04,2015-01-04T15:00:00Z,day,2015,1,3,869,0,1,0,2,-1.5,93,11,3,broken clouds
2015-01-04,2015-01-04T16:00:00Z,day,2015,1,3,737,0,1,0,3,0,93,12,3,broken clouds
2015-01-04,2015-01-04T17:00:00Z,day,2015,1,3,594,0,1,0,3,0,93,11,3,broken clouds
2015-01-04,2015-01-04T18:00:00Z,night,2015,1,3,522,0,1,0,3,1.5,93,6.5,3,broken clouds
2015-01-04,2015-01-04T19:00:00Z,night,2015,1,3,379,0,1,0,3,1,93,7,3,broken clouds
2015-01-04,2015-01-04T20:00:00Z,night,2015,1,3,328,0,1,0,3,3,93,4,3,broken clouds
2015-01-04,2015-01-04T21:00:00Z,night,2015,1,3,221,0,1,0,3,2.5,93,5,4,cloudy
2015-01-04,2015-01-04T22:00:00Z,night,2015,1,3,178,0,1,0,3,2,93,6,4,cloudy
2015-01-04,2015-01-04T23:00:00Z,night,2015,1,3,157,0,1,0,4,3.5,87,5,4,cloudy
2015-01-05,2015-01-05T00:00:00Z,night,2015,1,3,83,1,0,0,4,3,93,6,4,cloudy
2015-01-05,2015-01-05T01:00:00Z,night,2015,1,3,67,1,0,0,4,3.5,93,5,4,cloudy
2015-01-05,2015-01-05T02:00:00Z,night,2015,1,3,32,1,0,0,5,4,87,6,4,cloudy
2015-01-05,2015-01-05T03:00:00Z,night,2015,1,3,22,1,0,0,6,4.5,84,7.5,4,cloudy
2015-01-05,2015-01-05T04:00:00Z,night,2015,1,3,38,1,0,0,6.5,5,84,8,4,cloudy
2015-01-05,2015-01-05T05:00:00Z,night,2015,1,3,81,1,0,0,6,5.5,87,5,4,cloudy
2015-01-05,2015-01-05T06:00:00Z,day,2015,1,3,444,1,0,0,7,6.5,81,5,3,broken clouds
2015-01-05,2015-01-05T07:00:00Z,day,2015,1,3,1597,1,0,0,7,6,81,6.5,3,broken clouds
2015-01-05,2015-01-05T08:00:00Z,day,2015,1,3,3161,1,0,0,8,7.5,79,5,3,broken clouds
2015-01-05,2015-01-05T09:00:00Z,day,2015,1,3,1342,1,0,0,8,7,82,6,3,broken clouds
2015-01-05,2015-01-05T10:00:00Z,day,2015,1,3,568,1,0,0,9,8,84.5,6.5,3,broken clouds
2015-01-05,2015-01-05T11:00:00Z,day,2015,1,3,584,1,0,0,9,7.5,90.5,10,3,broken clouds
2015-01-05,2015-01-05T12:00:00Z,day,2015,1,3,762,1,0,0,10,8,85,11,3,broken clouds
2015-01-05,2015-01-05T13:00:00Z,day,2015,1,3,873,1,0,0,10,8.5,82,10,3,broken clouds
2015-01-05,2015-01-05T14:00:00Z,day,2015,1,3,672,1,0,0,10,9,82,9,3,broken clouds
2015-01-05,2015-01-05T15:00:00Z,day,2015,1,3,807,1,0,0,10,8.5,79,10,3,broken clouds
2015-01-05,2015-01-05T16:00:00Z,day,2015,1,3,1192,1,0,0,10,8.5,73.5,13,3,broken clouds
2015-01-05,2015-01-05T17:00:00Z,day,2015,1,3,2761,1,0,0,9.5,7.5,73.5,12,3,broken clouds
2015-01-05,2015-01-05T18:00:00Z,night,2015,1,3,2389,1,0,0,9.5,7.5,69,14,3,broken clouds
2015-01-05,2015-01-05T19:00:00Z,night,2015,1,3,1274,1,0,0,9,6.5,71,14,3,broken clouds
2015-01-05,2015-01-05T20:00:00Z,night,2015,1,3,696,1,0,0,9,7,71,14,3,broken clouds
2015-01-05,2015-01-05T21:00:00Z,night,2015,1,3,411,1,0,0,9,7,71,11,3,broken clouds
2015-01-05,2015-01-05T22:00:00Z,night,2015,1,3,324,1,0,0,9,7.5,71,10,4,cloudy
2015-01-05,2015-01-05T23:00:00Z,night,2015,1,3,192,1,0,0,8.5,7.5,73.5,8,4,cloudy
2015-01-06,2015-01-06T00:00:00Z,night,2015,1,3,91,1,0,0,8,6.5,76,8,4,cloudy
2015-01-06,2015-01-06T01:00:00Z,night,2015,1,3,73,1,0,0,8,6.5,76,8,4,cloudy
2015-01-06,2015-01-06T02:00:00Z,night,2015,1,3,33,1,0,0,8,6,76,11,4,cloudy
2015-01-06,2015-01-06T03:00:00Z,night,2015,1,3,19,1,0,0,8,5.5,76,14,4,cloudy
2015-01-06,2015-01-06T04:00:00Z,night,2015,1,3,40,1,0,0,8.5,6.5,73.5,11,4,cloudy
2015-01-06,2015-01-06T05:00:00Z,night,2015,1,3,74,1,0,0,8,5.5,82,14,4,cloudy
2015-01-06,2015-01-06T06:00:00Z,day,2015,1,3,530,1,0,0,8,5,84.5,15,3,broken clouds
2015-01-06,2015-01-06T07:00:00Z,day,2015,1,3,1715,1,0,0,9,7,82,13,3,broken clouds
2015-01-06,2015-01-06T08:00:00Z,day,2015,1,3,3534,1,0,0,9,7,82,12,7,rain
2015-01-06,2015-01-06T09:00:00Z,day,2015,1,3,1573,1,0,0,9,6.5,87,16,7,rain
2015-01-06,2015-01-06T10:00:00Z,day,2015,1,3,635,1,0,0,10,7.5,88,19.5,3,broken clouds
