date,timeperiod,year,month,season,cnt,is_holiday,is_weekend,is_workday,temp,temp_feel,hum,wind,weather_code,weather_type
2015-01-04,afternoon,2015,1,3,4677,0,1,1,2.75,-0.08333333333333333,91.5,10.583333333333334,3,broken clouds
2015-01-04,night,2015,1,3,1882,0,1,1,2.772727272727273,2.090909090909091,93.4090909090909,4.409090909090909,1,clear
2015-01-04,prenoon,2015,1,3,2675,0,1,1,1.7857142857142858,-1,98,9.714285714285714,4,cloudy
2015-01-05,afternoon,2015,1,3,8694,0,0,0,9.833333333333334,8.25,76.5,11.333333333333334,3,broken clouds
2015-01-05,night,2015,1,3,3220,0,0,0,6.909090909090909,5.545454545454546,80.5,8.590909090909092,4,cloudy
2015-01-05,prenoon,2015,1,3,8458,0,0,0,8.285714285714286,7.214285714285714,83.28571428571429,7.142857142857143,3,broken clouds
2015-01-06,afternoon,2015,1,3,8179,0,0,0,8.166666666666666,4.916666666666667,72.83333333333333,22.583333333333332,3,broken clouds
2015-01-06,night,2015,1,3,3502,0,0,0,6.681818181818182,4.2272727272727275,78.18181818181819,12.363636363636363,4,cloudy
2015-01-06,prenoon,2015,1,3,8932,0,0,0,9.428571428571429,7.428571428571429,85.21428571428571,16.071428571428573,3,broken clouds
2015-01-07,afternoon,2015,1,3,8956,0,0,0,9.5,6.333333333333333,70.08333333333333,26.75,3,broken clouds
2015-01-07,night,2015,1,3,2127,0,0,0,6.35,3.55,82.3,16.95,1,clear
2015-01-07,prenoon,2015,1,3,9981,0,0,0,7.285714285714286,4.285714285714286,79,17.785714285714285,2,scattered clouds
2015-01-08,afternoon,2015,1,3,7887,0,0,0,9.083333333333334,6,73.58333333333333,22.5,2,scattered clouds
2015-01-08,night,2015,1,3,3520,0,0,0,10.181818181818182,8.727272727272727,79.72727272727273,22.181818181818183,1,clear
2015-01-08,prenoon,2015,1,3,4194,0,0,0,9.642857142857142,7.857142857142857,83.57142857142857,16.071428571428573,7,rain
2015-01-09,afternoon,2015,1,3,8587,0,0,0,13.5,13.5,73.33333333333333,32.916666666666664,7,rain
2015-01-09,night,2015,1,3,3553,0,0,0,12.545454545454545,11.681818181818182,75.9090909090909,35.45454545454545,3,broken clouds
2015-01-09,prenoon,2015,1,3,9964,0,0,0,12.357142857142858,12.357142857142858,74.5,28.928571428571427,1,clear
2015-01-10,afternoon,2015,1,3,7362,0,1,1,8.583333333333334,4.833333333333333,52.333333333333336,32.916666666666664,2,scattered clouds
2015-01-10,night,2015,1,3,3447,0,1,1,9.909090909090908,8.090909090909092,69.0909090909091,31.181818181818183,1,clear
2015-01-10,prenoon,2015,1,3,3900,0,1,1,13,13,73.28571428571429,40.42857142857143,3,broken clouds
2015-01-11,afternoon,2015,1,3,7359,0,1,1,8.416666666666666,4.75,65.08333333333333,25.083333333333332,7,rain
2015-01-11,night,2015,1,3,2552,0,1,1,6.045454545454546,1.7272727272727273,72.04545454545455,26.954545454545453,1,clear
2015-01-11,prenoon,2015,1,3,4664,0,1,1,6.071428571428571,1.6428571428571428,62.714285714285715,27.214285714285715,1,clear
2015-01-12,afternoon,2015,1,3,4890,0,0,0,11.833333333333334,11.833333333333334,83.75,25.666666666666668,7,rain
2015-01-12,night,2015,1,3,3008,0,0,0,10.772727272727273,8.772727272727273,74.72727272727273,26.954545454545453,7,rain
2015-01-12,prenoon,2015,1,3,9301,0,0,0,11.071428571428571,9.5,73.35714285714286,32.285714285714285,3,broken clouds
2015-01-13,afternoon,2015,1,3,9349,0,0,0,7.833333333333333,4.333333333333333,71.41666666666667,22.833333333333332,2,scattered clouds
2015-01-13,night,2015,1,3,4269,0,0,0,8.590909090909092,6.7727272727272725,80.4090909090909,21.863636363636363,7,rain
2015-01-13,prenoon,2015,1,3,11079,0,0,0,9.285714285714286,6.5,72.35714285714286,18.785714285714285,2,scattered clouds
2015-01-14,afternoon,2015,1,3,8925,0,0,0,7.25,4,60.166666666666664,19.583333333333332,2,scattered clouds
2015-01-14,night,2015,1,3,3706,0,0,0,7.045454545454546,3.0454545454545454,70.86363636363636,27.954545454545453,1,clear
